349.59,-280.57,358.59
336.08,-274.57,378.09
351.09,-274.57,378.09
348.09,-282.07,370.59
346.59,-286.57,379.59
349.59,-286.57,379.59
346.59,-294.07,372.09
340.59,-274.57,375.09
358.59,-274.57,367.59
348.09,-295.57,384.1
352.59,-273.07,379.59
343.59,-282.07,367.59
343.59,-289.57,375.09
339.08,-276.07,376.59
336.08,-264.07,384.1
346.59,-291.07,387.1
348.09,-292.57,364.59
336.08,-264.07,367.59
346.59,-283.57,369.09
349.59,-283.57,369.09
343.59,-271.57,367.59
348.09,-274.57,370.59
349.59,-280.57,369.09
339.08,-273.07,376.59
340.59,-289.57,367.59
357.09,-286.57,390.1
327.08,-273.07,387.1
340.59,-289.57,367.59
339.08,-276.07,376.59
348.09,-282.07,375.09
348.09,-271.57,367.59
342.09,-286.57,369.09
361.59,-285.07,360.09
346.59,-273.07,379.59
342.09,-276.07,379.59
340.59,-289.57,384.1
331.58,-273.07,366.09
346.59,-273.07,358.59
340.59,-267.07,378.09
333.08,-289.57,375.09
352.59,-280.57,376.59
357.09,-283.57,390.1
348.09,-289.57,381.1
352.59,-280.57,376.59
357.09,-283.57,376.59
333.08,-267.07,378.09
340.59,-282.07,375.09
340.59,-277.57,370.59
343.59,-277.57,367.59
333.08,-295.57,381.1
357.09,-273.07,372.09
334.58,-286.57,379.59
343.59,-277.57,367.59
336.08,-274.57,367.59
340.59,-282.07,381.1
340.59,-277.57,378.09
346.59,-283.57,390.1
352.59,-273.07,369.09
346.59,-283.57,369.09
346.59,-283.57,366.09
348.09,-267.07,367.59
346.59,-268.57,376.59
339.08,-280.57,361.59
351.09,-285.07,394.6
355.59,-277.57,360.09
339.08,-298.57,376.59
340.59,-285.07,364.59
355.59,-267.07,375.09
348.09,-277.57,370.59
343.59,-267.07,375.09
355.59,-277.57,370.59
355.59,-274.57,381.1
339.08,-291.07,372.09
340.59,-285.07,367.59
357.09,-280.57,376.59
340.59,-285.07,370.59
346.59,-265.57,376.59
348.09,-274.57,360.09
346.59,-283.57,376.59
357.09,-286.57,366.09
346.59,-273.07,382.6
351.09,-267.07,391.6
342.09,-276.07,379.59
352.59,-280.57,369.09
348.09,-274.57,381.1
334.58,-276.07,366.09
333.08,-282.07,378.09
336.08,-267.07,378.09
333.08,-289.57,364.59
349.59,-265.57,387.1
343.59,-285.07,375.09
343.59,-289.57,370.59
343.59,-282.07,360.09
348.09,-277.57,375.09
348.09,-292.57,378.09
348.09,-285.07,370.59
351.09,-274.57,388.6
346.59,-276.07,369.09
348.09,-282.07,367.59
348.09,-295.57,378.09
339.08,-273.07,376.59
360.09,-280.57,376.59
349.59,-280.57,379.59
348.09,-277.57,364.59
355.59,-277.57,357.09
355.59,-285.07,364.59
349.59,-286.57,369.09
355.59,-271.57,375.09
367.59,-280.57,376.59
348.09,-282.07,375.09
339.08,-286.57,376.59
355.59,-282.07,375.09
334.58,-265.57,379.59
340.59,-274.57,364.59
349.59,-283.57,372.09
349.59,-280.57,379.59
352.59,-286.57,369.09
340.59,-271.57,364.59
340.59,-277.57,370.59
348.09,-282.07,367.59
352.59,-276.07,369.09
342.09,-283.57,379.59
348.09,-292.57,367.59
349.59,-276.07,387.1
349.59,-283.57,372.09
348.09,-282.07,381.1
348.09,-292.57,375.09
327.08,-291.07,390.1
355.59,-274.57,364.59
351.09,-277.57,375.09
357.09,-276.07,376.59
339.08,-283.57,369.09
331.58,-273.07,382.6
339.08,-268.57,372.09
351.09,-289.57,370.59
358.59,-285.07,370.59
361.59,-282.07,375.09
360.09,-273.07,366.09
346.59,-286.57,379.59
351.09,-271.57,378.09
346.59,-280.57,387.1
352.59,-280.57,379.59
